vehicle_id,route_length_m,duration_s,waiting_time_s,vaporized,energy_consumed_wh,energy_charged_wh,final_soc_wh,consumption_wh_per_km,completed
ev_6,2974.36,276.0,0.0,,0.0,0.0,17238.64,0.0,True
ev_4,3598.55,312.0,0.0,,0.0,0.0,17190.89,0.0,True
ev_3,4952.02,625.0,0.0,,0.0,0.0,17074.89,0.0,True
ev_5,5121.22,696.0,1.0,,0.0,0.0,17116.33,0.0,True
ev_1,6422.01,763.0,2.0,,0.0,0.0,16982.32,0.0,True
ev_7,6160.46,748.0,2.0,,0.0,0.0,17025.99,0.0,True
ev_2,8025.78,1154.0,3.0,,0.0,0.0,18571.34,0.0,True
ev_0,12728.52,3351.0,3.0,,0.0,0.0,28616.89,0.0,True
